w,rd,gra,sil,silNP
-2.5,0.029056805315231703,0.003676403579073823,0.00369252339172598,0.002508680713660774
-2.495,0.031068346142396765,0.003796647818047408,0.003812297480517809,0.0025845627961911775
-2.49,0.03326588021054944,0.00392182179384053,0.0039369507506327355,0.002663272709321175
-2.485,0.0356711431207461,0.004052172658171908,0.00406672648223587,0.0027449372563053964
-2.48,0.03830894032463106,0.0041879623915364985,0.004201882478886569,0.0028296899489150115
-2.475,0.0412076522561768,0.00432946884796901,0.004342692085927596,0.0029176714192237214
-2.47,0.044399833112067924,0.004476986884831016,0.004489445291371837,0.0030090298603037847
-2.465,0.047922922130461246,0.004630829585500542,0.004642449916897821,0.003103921498125356
-2.46,0.05182009011728739,0.004791329583665109,0.004802032907355106,0.003202511097155653
-2.455,0.05614124860175003,0.004958840498835429,0.0049685417280621175,0.003304972502377937
-2.45,0.06094425443308771,0.005133738493721244,0.005142345880162735,0.0034114892206956477
-2.445,0.0662963488696023,0.005316423965256707,0.005323838545408959,0.003522255044957295
-2.44,0.07227587715704481,0.005507323382345067,0.005513438372967829,0.003637474724134739
-2.435,0.0789743419346866,0.005706891284831741,0.005711591422232044,0.003757364683515556
-2.43,0.08649885085367397,0.005915612459828287,0.005918773277160956,0.0038821537991307374
-2.425,0.09497502419739524,0.006134004313325486,0.006135491349419741,0.004012084231038571
-2.42,0.1045504295982603,0.006362619457075115,0.006362287389539832,0.004147412320525354
-2.415,0.11539860383829756,0.006602048533021185,0.006599740227528098,0.004288409556771116
-2.41,0.12772369886281093,0.006852923300157016,0.006848468766836182,0.004435363619067422
-2.405,0.14176573832830566,0.00711592001161677,0.007109135258407291,0.004588579501271458
-2.4,0.15780637242563278,0.007391763113127713,0.007382448884689152,0.004748380725842806
-2.395,0.1761748409428068,0.00768122929770697,0.007669169687093437,0.004915110655544285
-2.39,0.19725354925475005,0.007985151955748705,0.007970112874452335,0.005089133911704432
-2.385,0.22148215802523386,0.008304426064490594,0.008286153554646123,0.005270837908847342
-2.38,0.2493582869345064,0.008640013566357003,0.008618231936830686,0.005460634516506203
-2.375,0.2814317160291787,0.00899294929195258,0.0089673590576787,0.005658961860163427
-2.37,0.31828722458228026,0.009364347490642414,0.009334623091872482,0.005866286274516241
-2.365,0.3605089240693297,0.009755409039839645,0.009721196314882063,0.006083104423670436
-2.36,0.4086164081433533,0.010167429413490976,0.01012834279497817,0.006309945604433126
-2.355,0.4629612356233758,0.010601807500990998,0.010557426901647174,0.006547374250631445
-2.35,0.5235734308084007,0.011060055380094233,0.011009922729300688,0.006795992658351607
-2.345,0.5899558812084971,0.01154380916157926,0.011487424548649518,0.007056443954198915
-2.34,0.6608451729409591,0.012054841039773166,0.01199165841363498,0.007329415331159601
-2.335,0.7339940931339262,0.012595072701912341,0.012524495069709837,0.0076156415794310164
-2.33,0.8060774105615593,0.013166590271139084,0.013087964329950642,0.007915908942726646
-2.325,0.8728518925540455,0.013771660983207187,0.013684271109425314,0.008231059334099252
-2.32,0.929667082625143,0.014412751826302122,0.014315813336009188,0.008561994949319173
-2.315,0.9722906558366342,0.015092550407481548,0.014985201988101798,0.008909683320358538
-2.31,0.9978191661566567,0.015813988348961815,0.015695283547245545,0.009275162856640304
-2.305,1.005323167775272,0.016580267563827238,0.016449165197431698,0.009659548927499687
-2.3,0.9959544850255924,0.017394889814936632,0.01725024315404008,0.010064040545875778
-2.295,0.9725006187685671,0.018261690024291278,0.018102234565244714,0.010489927720717572
-2.29,0.9386234380697726,0.019184873874655776,0.01900921349896239,0.010938599554086319
-2.285,0.8980981467551178,0.02016906033287237,0.019975651610971826,0.011411553168621748
-2.28,0.8542698266286994,0.021219329827600178,0.02100646418703975,0.011910403562096427
-2.275,0.809786465504907,0.022341278936173197,0.022107062366585967,0.012436894498423154
-2.27,0.7665549847037851,0.023541082579564228,0.023283412491011783,0.012992910558955394
-2.265,0.7258289563359172,0.024825564895486416,0.024542103680427946,0.013580490494520033
-2.26,0.6883489184369553,0.026202280162814406,0.025890424933142555,0.014201842037694893
-2.255,0.6544853385493024,0.027679605392236458,0.027336453268924338,0.014859358356785052
-2.25,0.6243604341670442,0.02926684648621521,0.02888915470707934,0.015555636358249568
-2.245,0.5979419878729038,0.030974360215435287,0.030558500192593326,0.016293497073532306
-2.24,0.575110923947648,0.03281369467049601,0.03235559896877233,0.01707600840003437
-2.235,0.5557076636520648,0.034797751340599405,0.03429285235592454,0.01790651050510934
-2.23,0.5395627079100889,0.03694097256224066,0.03638413144839753,0.018788644247403164
-2.225,0.5265161459904282,0.039259558790753095,0.03864498290567896,0.01972638302271284
-2.22,0.5164297221957311,0.0417717210003234,0.04109286781005108,0.020724068503118566
-2.215,0.5091940906126473,0.0444979745428552,0.04374743952070628,0.021786450810043986
-2.21,0.5047330753118482,0.04746148202710031,0.04663086760456504,0.022918733746001105
-2.205,0.5030061371687067,0.05068845425685858,0.04976821630516979,0.024126625808355402
-2.2,0.5040097909418483,0.054208620036504,0.05318788766657419,0.025416397824217438
-2.195,0.5077783676170358,0.05805577776453381,0.056922141408269115,0.026794948181818046
-2.19,0.5143842274788095,0.06226844424508117,0.06100770600288231,0.0282698767943913
-2.185,0.5239372510425602,0.06689061910580618,0.06548649819432649,0.029849569122459785
-2.18,0.5365831197383892,0.0719726866605657,0.07040647145751747,0.031543291805241874
-2.175,0.552499494554289,0.07757248101344934,0.07582261767019899,0.033361301718701185
-2.17,0.5718886524857296,0.08375654463099265,0.08179815053011029,0.03531497059499929
-2.165,0.594964391525036,0.09060161537691543,0.08840590391516581,0.03741692771614426
